M,N,tM,bandwidth_GBps
2048,16,64,34.722721
2048,17,64,40.198010
2048,18,64,40.409399
2048,19,64,44.363640
2048,20,64,44.193629
2048,21,64,43.047604
2048,22,64,41.455122
2048,23,64,42.889033
2048,24,64,46.107329
2048,25,64,46.613521
2048,26,64,44.210685
2048,27,64,50.426336
2048,28,64,51.956669
2048,29,64,54.106462
2048,30,64,54.731309
2048,31,64,57.097669
2048,32,64,55.055931
2048,33,64,59.260252
2048,34,64,49.916501
2048,35,64,53.742549
2048,36,64,53.755382
2048,37,64,55.407432
2048,38,64,56.636704
2048,39,64,58.210536
2048,40,64,50.089032
2048,41,64,58.955574
2048,42,64,51.801823
2048,43,64,54.565704
2048,44,64,53.556226
2048,45,64,55.277906
2048,46,64,52.727186
2048,47,64,56.288308
2048,48,64,69.071411
2048,49,64,54.764698
2048,50,64,55.282395
2048,51,64,57.130229
2048,52,64,58.365003
2048,53,64,58.851696
2048,54,64,59.523483
2048,55,64,59.928120
2048,56,64,61.855376
2048,57,64,57.565515
2048,58,64,59.938354
2048,59,64,57.656868
2048,60,64,61.778530
2048,61,64,57.282720
2048,62,64,62.245183
2048,63,64,60.480821
2048,64,64,82.554314
2048,65,64,65.926350
2048,66,64,67.980513
2048,67,64,69.303801
2048,68,64,67.967027
2048,69,64,70.726907
2048,70,64,68.111872
2048,71,64,68.026444
2048,72,64,69.092541
2048,73,64,71.394281
2048,74,64,69.125009
2048,75,64,68.171895
2048,76,64,67.896251
2048,77,64,71.933165
2048,78,64,68.525741
2048,79,64,68.148690
2048,80,64,82.750772
2048,81,64,72.177173
2048,82,64,69.916649
2048,83,64,69.487621
2048,84,64,68.032817
2048,85,64,72.967878
2048,86,64,68.714089
2048,87,64,73.638083
2048,88,64,70.510648
2048,89,64,69.244964
2048,90,64,74.063692
2048,91,64,71.220669
2048,92,64,70.739052
2048,93,64,75.290077
2048,94,64,72.795298
2048,95,64,71.656282
2048,96,64,92.211019
2048,97,64,75.096531
2048,98,64,74.871224
2048,99,64,77.235334
2048,100,64,75.848966
2048,101,64,76.423720
2048,102,64,78.333344
2048,103,64,77.358591
2048,104,64,76.087092
2048,105,64,78.109052
2048,106,64,76.337156
2048,107,64,75.838755
2048,108,64,78.026280
2048,109,64,76.395183
2048,110,64,76.072643
2048,111,64,78.440660
2048,112,64,90.676197
2048,113,64,73.607314
2048,114,64,78.713661
2048,115,64,76.864300
2048,116,64,76.121868
2048,117,64,78.910816
2048,118,64,77.697176
2048,119,64,76.551260
2048,120,64,80.357974
2048,121,64,78.413781
2048,122,64,76.518342
2048,123,64,79.767504
2048,124,64,79.385423
2048,125,64,77.756457
2048,126,64,81.490970
2048,127,64,79.164035
2048,128,64,96.608585
