dim_size,tM,tN,tK,tflops
512,32,32,32,7.719796647029734
512,32,32,64,8.121057211582048
512,32,32,128,8.31061915477395
512,32,64,32,9.296939986640197
512,32,64,64,9.73966319301598
512,32,64,128,9.064106821544625
512,32,128,32,9.921896600494424
512,32,128,64,9.968030987451055
512,32,128,128,10.066816475884824
512,64,32,32,8.862567737182692
512,64,32,64,9.52960008580334
512,64,32,128,9.240278890513933
512,64,64,32,10.043068097546483
512,64,64,64,9.4331178255509
512,64,64,128,9.99800695339577
512,64,128,32,10.876631833260793
512,64,128,64,11.329614845465438
512,64,128,128,10.677857577390125
512,128,32,32,9.571522432085798
512,128,32,64,9.479795254283744
512,128,32,128,9.915692366360783
512,128,64,32,10.201464615055201
512,128,64,64,9.928526554379145
512,128,64,128,11.11689414533254
512,128,128,32,9.129644363288497
512,128,128,64,9.997330988773303
512,128,128,128,5.811665628697614
