dim_size,tM,tN,tK,tflops
4096,16,16,16,1.3649066398622822
4096,16,16,32,0.9919356131705908
4096,16,16,64,1.2141938650078343
4096,16,16,128,1.179757302393516
4096,16,32,16,8.853533454680669
4096,16,32,32,12.16725950632045
4096,16,32,64,14.597463161816083
4096,16,32,128,18.44889324443719
4096,16,64,16,13.438681358054934
4096,16,64,32,20.778233132818787
4096,16,64,64,20.206352289681114
4096,16,64,128,21.58702288987581
4096,16,128,16,22.222743959613368
4096,16,128,32,27.261240375184283
4096,16,128,64,24.17404310146377
4096,16,128,128,23.392489145040464
4096,32,16,16,8.525640460285418
4096,32,16,32,13.678492173588335
4096,32,16,64,13.644708349236115
4096,32,16,128,16.94558167418105
4096,32,32,16,13.446680431489911
4096,32,32,32,21.376855170704783
4096,32,32,64,22.306849702126858
4096,32,32,128,26.7594053429336
4096,32,64,16,22.32316905326096
4096,32,64,32,31.358185295066054
4096,32,64,64,35.92630064581086
4096,32,64,128,34.97722190008129
4096,32,128,16,33.00872279029772
4096,32,128,32,43.86762720803608
4096,32,128,64,43.858078755653715
4096,32,128,128,42.63407033179901
4096,64,16,16,11.843921616554494
4096,64,16,32,18.367000644260955
4096,64,16,64,19.561859198728655
4096,64,16,128,17.69202274629987
4096,64,32,16,21.690805190255613
4096,64,32,32,31.74339200699682
4096,64,32,64,34.12690880796377
4096,64,32,128,28.814139688776365
4096,64,64,16,34.79323802452279
4096,64,64,32,44.080389728986724
4096,64,64,64,49.43333009228181
4096,64,64,128,45.72743676426567
4096,64,128,16,43.95275786418614
4096,64,128,32,54.3459611335732
4096,64,128,64,50.73286561620325
4096,64,128,128,58.21565824303846
4096,128,16,16,13.771643301137543
4096,128,16,32,20.898079951165204
4096,128,16,64,22.398573194964072
4096,128,16,128,20.86004616641167
4096,128,32,16,26.425228397397493
4096,128,32,32,40.79478224495332
4096,128,32,64,42.630301351279975
4096,128,32,128,38.179682024013076
4096,128,64,16,40.21046254662474
4096,128,64,32,52.28680105879454
4096,128,64,64,37.23808255126191
4096,128,64,128,58.57572354213482
4096,128,128,16,25.90763064660533
4096,128,128,32,41.276293113977296
4096,128,128,64,63.96357791540811
4096,128,128,128,25.258785568886868
