dim_size,tM,tN,tK,tflops
4096,16,16,16,1.3545778569416873
4096,16,16,32,1.0200999436570797
4096,16,16,64,1.1995669235349593
4096,16,16,128,1.1723487871003866
4096,16,32,16,3.497083965241367
4096,16,32,32,3.5687461615780216
4096,16,32,64,3.6468357992571696
4096,16,32,128,3.6468908576678447
4096,16,64,16,4.195978720506355
4096,16,64,32,4.145754326746416
4096,16,64,64,4.47178875454053
4096,16,64,128,4.442626138538207
4096,16,128,16,6.022516767637131
4096,16,128,32,6.252894829707095
4096,16,128,64,6.195652228406488
4096,16,128,128,6.148381060166796
4096,32,16,16,3.4665478288649694
4096,32,16,32,3.6281305977786347
4096,32,16,64,3.6790855922925974
4096,32,16,128,3.6374805359794133
4096,32,32,16,6.593513255015576
4096,32,32,32,6.954003527173488
4096,32,32,64,6.978750704410582
4096,32,32,128,6.966725787936333
4096,32,64,16,8.089178176925882
4096,32,64,32,8.046510329413568
4096,32,64,64,8.674444370006192
4096,32,64,128,8.400319139894398
4096,32,128,16,11.31207276681895
4096,32,128,32,11.913542558339687
4096,32,128,64,11.858846053135512
4096,32,128,128,11.79394485487813
4096,64,16,16,6.631766915554136
4096,64,16,32,6.956888346980513
4096,64,16,64,7.037486706600056
4096,64,16,128,7.030267202385313
4096,64,32,16,12.553151004349324
4096,64,32,32,12.90517987164004
4096,64,32,64,12.993675241348464
4096,64,32,128,13.170459822544952
4096,64,64,16,15.85157398134667
4096,64,64,32,15.670976783790984
4096,64,64,64,16.20612540836992
4096,64,64,128,15.797016628612164
4096,64,128,16,20.455894637681343
4096,64,128,32,21.788880922946557
4096,64,128,64,21.524860549955257
4096,64,128,128,21.839719441209596
4096,128,16,16,12.27895749974304
4096,128,16,32,13.213514273366146
4096,128,16,64,13.122642241414042
4096,128,16,128,13.006449705742591
4096,128,32,16,22.093928289894624
4096,128,32,32,22.802487951222282
4096,128,32,64,23.521327895781553
4096,128,32,128,22.039180217147432
4096,128,64,16,25.0319865591418
4096,128,64,32,28.06424598856312
4096,128,64,64,21.019809035477433
4096,128,64,128,28.24932451367242
4096,128,128,16,18.574347706402552
4096,128,128,32,25.125897145741476
4096,128,128,64,37.94973337628041
4096,128,128,128,20.82184167262238
