dim_size,tM,tN,tK,tflops
4096,16,16,16,1.3476142202982189
4096,16,16,32,1.002656205183388
4096,16,16,64,1.1800165924769308
4096,16,16,128,1.170768227154296
4096,16,32,16,3.468741224079449
4096,16,32,32,3.6102024143072753
4096,16,32,64,3.6625120182482807
4096,16,32,128,3.6628877493802885
4096,16,64,16,4.218455780571431
4096,16,64,32,4.202595909788226
4096,16,64,64,4.428669691615517
4096,16,64,128,4.400371907835715
4096,16,128,16,6.146747564254767
4096,16,128,32,6.363007492487244
4096,16,128,64,6.334023194699122
4096,16,128,128,6.268745929078762
4096,32,16,16,3.483782812357895
4096,32,16,32,3.6567987779387834
4096,32,16,64,3.690473400323911
4096,32,16,128,3.679521502520831
4096,32,32,16,6.707079544057994
4096,32,32,32,7.075798551436883
4096,32,32,64,7.056677079996416
4096,32,32,128,7.044497169089831
4096,32,64,16,8.149996689759785
4096,32,64,32,8.124511617515715
4096,32,64,64,8.387856052593134
4096,32,64,128,8.332288185596845
4096,32,128,16,11.542052809726615
4096,32,128,32,12.131331648057133
4096,32,128,64,12.090276413304268
4096,32,128,128,11.981524127900126
4096,64,16,16,6.713220948804987
4096,64,16,32,7.003002808067358
4096,64,16,64,7.094969217452007
4096,64,16,128,7.108470937044309
4096,64,32,16,12.743477048063584
4096,64,32,32,13.077290530056564
4096,64,32,64,13.233206828436261
4096,64,32,128,13.381362796086092
4096,64,64,16,16.13611622136597
4096,64,64,32,15.931733637145713
4096,64,64,64,15.931612785593527
4096,64,64,128,15.997289577550593
4096,64,128,16,20.72963047416999
4096,64,128,32,22.09849607970391
4096,64,128,64,21.650527907210734
4096,64,128,128,22.165324026949268
4096,128,16,16,12.306376945435426
4096,128,16,32,13.273487368373708
4096,128,16,64,13.14162490869593
4096,128,16,128,13.084585254801631
4096,128,32,16,22.204416633026177
4096,128,32,32,23.287788943146456
4096,128,32,64,23.894366711961634
4096,128,32,128,22.319239026855037
4096,128,64,16,25.149092576759315
4096,128,64,32,28.619526546857024
4096,128,64,64,21.08193662943516
4096,128,64,128,28.712623161712123
4096,128,128,16,18.63795826821464
4096,128,128,32,25.19298108866119
4096,128,128,64,38.57487524786442
4096,128,128,128,17.48527931353305
