dim_size,tM,tN,tK,tflops
2048,32,32,32,19.862999841233137
2048,32,32,64,20.73828292116863
2048,32,32,128,26.526512418545956
2048,32,64,32,30.07029435664918
2048,32,64,64,33.91690642503542
2048,32,64,128,32.57630841688159
2048,32,128,32,39.85456082778953
2048,32,128,64,37.917666054373115
2048,32,128,128,38.32958261942095
2048,64,32,32,30.331472311761846
2048,64,32,64,30.64600739049001
2048,64,32,128,26.806684401628285
2048,64,64,32,43.308254839680735
2048,64,64,64,47.57727070675975
2048,64,64,128,44.128479152689295
2048,64,128,32,48.58442311066262
2048,64,128,64,45.75462747326736
2048,64,128,128,50.2230431528819
2048,128,32,32,39.048797656627194
2048,128,32,64,39.087499721200565
2048,128,32,128,34.26011637010027
2048,128,64,32,47.54330114397298
2048,128,64,64,39.839961907236905
2048,128,64,128,51.59595879663627
2048,128,128,32,38.45006728440965
2048,128,128,64,55.351214659240874
2048,128,128,128,19.708256739372743
