dim_size,tM,tN,tK,tflops
8192,32,32,32,23.58336810861034
8192,32,32,64,19.992032859331008
8192,32,32,128,30.648053910207384
8192,32,64,32,34.342250903412264
8192,32,64,64,39.93211227938285
8192,32,64,128,37.31905387015599
8192,32,128,32,41.75132034466982
8192,32,128,64,40.92319165340122
8192,32,128,128,40.732027604296505
8192,64,32,32,36.03453227958868
8192,64,32,64,36.20201532235435
8192,64,32,128,30.47810432752535
8192,64,64,32,51.970663688701414
8192,64,64,64,59.1801163949277
8192,64,64,128,52.4029250313635
8192,64,128,32,55.857805909398834
8192,64,128,64,49.96808796739566
8192,64,128,128,59.357220795800856
8192,128,32,32,46.89956916495793
8192,128,32,64,45.9854952227026
8192,128,32,128,40.099213542934216
8192,128,64,32,60.044828977380284
8192,128,64,64,46.24711663819495
8192,128,64,128,65.90708224668872
8192,128,128,32,43.645165785746265
8192,128,128,64,63.00611312350902
8192,128,128,128,26.16347493644908
