N,TFLOPS,tN
17,1.1157810737591753,8
18,4.891311184762434,16
19,5.19181313833593,16
20,5.4084664950398995,16
21,5.712379601831181,16
22,5.933842784175496,16
23,6.252870581067015,16
24,6.466675541784369,16
25,6.745586768985508,16
26,6.973496141297845,16
27,7.27195183328602,16
28,7.501533564414134,16
29,7.707607978426748,16
30,8.024178494768872,16
31,8.228792355313454,16
32,8.489241840396886,16
33,6.170133030748036,16
34,8.400749174977271,32
35,8.632773356779657,32
36,8.855706974589374,32
37,9.015177404230094,32
38,9.356392447136232,32
39,9.495180818592267,32
40,9.791500491417255,32
41,9.904090001031225,32
42,10.239368149974977,32
43,10.470145009181332,32
44,10.695586736488261,32
45,10.854365334691916,32
46,11.107001530618255,32
47,11.321773254017783,32
48,11.571424431899686,32
49,11.792625562950791,32
50,11.950642018718174,32
51,12.221344160802191,32
52,12.358127430047041,32
53,12.6734239284443,32
54,12.896074506607562,32
55,13.03572445021732,32
56,13.38817725625966,32
57,13.44931501526751,32
58,13.722040580261044,32
59,13.87025266920469,32
60,14.134327936909553,32
61,14.316140215937287,32
62,14.584175211368596,32
63,14.810689591304909,32
64,14.989375062141939,32
65,10.743350102402573,32
66,13.562615389439607,64
67,13.660009891255092,64
68,13.730694270273617,64
69,13.895511715472944,64
70,14.111933808228525,64
71,14.410826780804408,64
72,14.57519670762864,64
73,14.599629106261975,64
74,14.66459915135743,64
75,15.033800068489894,64
76,15.150141664307515,64
77,15.338306853845044,64
78,15.606902604231905,64
79,15.72199847822955,64
80,15.997053293565218,64
81,16.149446221009114,64
82,16.189327217621702,64
83,16.386709535620696,64
84,16.62943648098894,64
85,16.694279260782707,64
86,16.97498463460584,64
87,17.049099513815353,64
88,17.20926462045835,64
89,17.4643482011317,64
90,17.651596181711426,64
91,17.817917723631414,64
92,17.953202048015793,64
93,18.222861161622607,64
94,18.194133749484802,64
95,18.485054463214553,64
96,18.623435718140424,64
97,18.88432538932295,64
98,18.98977539134593,64
99,19.187254733088228,64
100,19.362845106975378,64
101,19.43373135853893,64
102,19.616922345570792,64
103,19.82759984243749,64
104,19.987540465282954,64
105,20.124489744928614,64
106,20.34340360610448,64
107,20.498843525095637,64
108,20.690246919026542,64
109,20.950774732666275,64
110,21.059978792659315,64
111,21.123315199214307,64
112,21.227430665662077,64
113,21.49538716547673,64
114,21.76756975099181,64
115,21.799028551833402,64
116,21.830083347172828,64
117,22.0562327579332,64
118,22.221321720377826,64
119,22.411574193363922,64
120,22.610334318447958,64
121,22.709112127758452,64
122,22.8675169530939,64
123,23.084978690818314,64
124,23.185523167192272,64
125,23.256434690351842,64
126,23.556995759336772,64
127,23.53588773829142,64
128,23.864059087869734,64
