dim_size,tM,tN,tK,tflops
4096,16,16,16,1.384482997995102
4096,16,16,32,1.0070962080866823
4096,16,16,64,1.2322542922508495
4096,16,16,128,1.1977832198287173
4096,16,32,16,8.972124398589072
4096,16,32,32,12.258855145998625
4096,16,32,64,14.705887618876547
4096,16,32,128,18.656497187279925
4096,16,64,16,13.565184816729944
4096,16,64,32,21.075509017087548
4096,16,64,64,20.138115095523485
4096,16,64,128,21.531077157729975
4096,16,128,16,22.487372818055036
4096,16,128,32,27.28896454968504
4096,16,128,64,24.33461434149936
4096,16,128,128,23.59467084824994
4096,32,16,16,8.679459884037605
4096,32,16,32,13.795927699832191
4096,32,16,64,13.716924499693524
4096,32,16,128,17.157421406255327
4096,32,32,16,13.596898266059814
4096,32,32,32,21.521554471879263
4096,32,32,64,22.511275577595185
4096,32,32,128,27.0971994168047
4096,32,64,16,22.46855797819701
4096,32,64,32,31.54065864520702
4096,32,64,64,35.98981817456159
4096,32,64,128,35.3122791584757
4096,32,128,16,33.33442695643695
4096,32,128,32,43.77229243089449
4096,32,128,64,43.74993092485207
4096,32,128,128,42.47433657326698
4096,64,16,16,11.957564255830517
4096,64,16,32,18.458621765717655
4096,64,16,64,19.609367658910013
4096,64,16,128,17.634302795451628
4096,64,32,16,22.171191023379947
4096,64,32,32,31.873072925129748
4096,64,32,64,34.17412436414839
4096,64,32,128,28.82165895934225
4096,64,64,16,35.35266428582178
4096,64,64,32,44.56070976576837
4096,64,64,64,49.715009531783586
4096,64,64,128,46.57885364735858
4096,64,128,16,44.166335955939076
4096,64,128,32,55.12581151907756
4096,64,128,64,51.360567779619174
4096,64,128,128,60.22727506561245
4096,128,16,16,13.75150725258324
4096,128,16,32,20.842284155418156
4096,128,16,64,22.31443779766045
4096,128,16,128,20.64719083323745
4096,128,32,16,26.755301543380387
4096,128,32,32,41.02895088551981
4096,128,32,64,43.140905144384035
4096,128,32,128,38.37974117550605
4096,128,64,16,40.70851910208512
4096,128,64,32,53.16755926476558
4096,128,64,64,37.44705166323102
4096,128,64,128,60.68298749491264
4096,128,128,16,26.16861255008091
4096,128,128,32,41.03613073197535
4096,128,128,64,64.12586276046208
4096,128,128,128,26.617691685142663
