dim_size,tM,tN,tK,tflops
4096,16,16,16,1.3403397042751761
4096,16,16,32,0.9919201743173859
4096,16,16,64,1.1718927418210985
4096,16,16,128,1.1596368409505602
4096,16,32,16,3.533002650596897
4096,16,32,32,3.675904283273749
4096,16,32,64,3.7287156816603626
4096,16,32,128,3.7292458872624485
4096,16,64,16,4.244596439555408
4096,16,64,32,4.247909360920251
4096,16,64,64,4.404338643628009
4096,16,64,128,4.397296862883524
4096,16,128,16,6.159431367707892
4096,16,128,32,6.402054528466227
4096,16,128,64,6.373255945616566
4096,16,128,128,6.315390378030257
4096,32,16,16,3.6002474709641876
4096,32,16,32,3.771569714087864
4096,32,16,64,3.8405329440035354
4096,32,16,128,3.826813994595805
4096,32,32,16,6.8342023322844705
4096,32,32,32,7.144077099202577
4096,32,32,64,7.150370517256452
4096,32,32,128,7.092516623641161
4096,32,64,16,8.17438976183047
4096,32,64,32,8.088017881117548
4096,32,64,64,8.465337250034885
4096,32,64,128,8.396501673921565
4096,32,128,16,11.430234258416968
4096,32,128,32,12.054730496213029
4096,32,128,64,12.0614913712453
4096,32,128,128,11.949035296633678
4096,64,16,16,6.8419828904056255
4096,64,16,32,7.203689668492
4096,64,16,64,7.30079123339944
4096,64,16,128,7.283193972515265
4096,64,32,16,12.781586650941065
4096,64,32,32,13.103883337633778
4096,64,32,64,13.176836691588854
4096,64,32,128,13.355611261174902
4096,64,64,16,15.804686490611846
4096,64,64,32,15.564563522451964
4096,64,64,64,15.787801957116368
4096,64,64,128,15.558109468519941
4096,64,128,16,20.267812264754415
4096,64,128,32,21.856304293042026
4096,64,128,64,21.212445676781083
4096,64,128,128,21.91881425799491
4096,128,16,16,12.466906268849918
4096,128,16,32,13.502709300727595
4096,128,16,64,13.32698721670086
4096,128,16,128,13.25553502812886
4096,128,32,16,22.215792522565472
4096,128,32,32,23.198807192761816
4096,128,32,64,23.6598477526
4096,128,32,128,22.332660434747964
4096,128,64,16,24.604747981293283
4096,128,64,32,27.7872948914931
4096,128,64,64,21.06839178981297
4096,128,64,128,27.843460518049564
4096,128,128,16,18.757600868923216
4096,128,128,32,25.216728832164993
4096,128,128,64,36.737173816599416
4096,128,128,128,20.773385439778703
